stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.021794250002130866,,0.016121207998367026,0.021794250002130866,0.499472750001587,0.499472750001587,0.5219785410008626,0.7886334580107359,1.5709164580039214,right,10.0,1,1,1.0379481249983655,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
1,2,8.0,1.6006194580113515,,1.5711576250032522,1.6006194580113515,2.067934040998807,2.067934040998807,2.088443458007532,2.3549250409996603,2.723155833009514,left,-8.0,1,1,0.6523638330108952,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
2,2,6.0,2.733780291004223,,2.723473541002022,2.733780291004223,3.2226806660037255,3.2226806660037255,3.2226806660037255,3.5216727910010377,3.753357875000802,left,-6.0,1,1,0.5244026250002207,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
3,2,4.0,3.7741373330063652,,3.753687707998324,3.7741373330063652,4.2512890830112156,4.2512890830112156,4.267934208008228,4.538974750001216,4.703459374999511,left,-4.0,1,1,0.4387622909998754,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
4,2,2.0,4.711293500004103,,4.703784208002617,4.711293500004103,5.201166791011929,5.201166791011929,5.206428458011942,5.488748500007205,5.623985041005653,left,-2.0,1,1,0.4205037909996463,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
5,2,1.0,5.63401762500871,,5.624375833009253,5.63401762500871,6.123115416005021,6.123115416005021,6.123115416005021,6.417908250004984,6.657112790999236,right,1.0,1,1,0.5300130830000853,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
6,2,1.0,6.667937083009747,,6.657432625012007,6.667937083009747,7.156468750006752,7.156468750006752,7.156468750006752,7.451245583011769,7.790097041011904,right,1.0,1,1,0.6307600000000093,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
7,2,1.0,7.801203458002419,,7.790403750012047,7.801203458002419,8.288937707999139,8.288937707999139,8.288937707999139,8.584502458004863,9.053327041008743,left,-1.0,1,1,0.7518804580031428,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
8,1,1.0,9.061408500012476,,9.053639165998902,9.061408500012476,9.551152458006982,9.551152458006982,9.556377541011898,9.838906041011796,10.053294375000405,left,-1.0,0,0,0.49673683299624827,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
9,1,2.0,10.061275915999431,,10.053682333003962,10.061275915999431,10.55121158300608,10.55121158300608,10.556272333007655,10.83887545800826,11.070659541001078,right,2.0,1,1,0.5067687089904211,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
